Topic,num_languages,num_views,links_from,links_to,ext_links,num_edits,num_editors,characters,words,sections,redirects_count
Tzatziki,40,2589403,1487,950,49,1391,771,6952,1186,13,23
"Hoseyniyeh, Isfahan",4,4534,87,66,2,7,6,230,36,2,0
Hemananda Biswal,8,131364,69,67,17,112,62,1140,207,6,1
Alphonse Martin,4,5344,21,9,2,29,18,727,117,2,0
Judgment at Nuremberg,37,1701511,368,408,50,698,440,13043,2087,14,5
Emiliano Zapata,71,3320624,251,685,113,3017,1538,40138,6497,25,9
Lenin in 1918,18,44941,65,52,2,78,47,737,124,5,0
Non-Hispanic whites,3,1207988,726,1307,65,1179,518,12223,1915,13,16
Chesapeake and Ohio 1308,0,22229,105,7,8,74,42,2466,427,3,3
William Spurrell,1,4808,38,13,14,24,14,2132,338,4,0
Todd O'Brien,3,26230,91,30,28,48,30,7275,1177,8,0
Austria national under-17 football team,12,96824,271,564,14,84,38,507,84,8,1
Iffley Halt railway station,0,11265,121,124,4,26,18,851,144,3,0
Body Alchemy,1,17155,21,8,6,49,37,478,79,3,1
Antiochtha semialis,0,2389,20,2,2,11,9,126,24,2,0
National Anthem of Colombia,45,254410,297,123,120,423,260,19905,3287,16,12
Zdeněk Remsa,9,5991,12,13,9,13,8,111,23,3,1
Hassan Lemu,1,4134,23,5,9,43,24,1950,311,4,0
Chalid Arrab,6,70998,97,48,18,195,109,2195,392,8,0
16 and Pregnant,5,1413730,348,462,15,2461,1064,5695,953,7,4
George Owen (priest),0,2005,112,25,1,11,7,242,44,2,0
Depleted uranium,42,2930773,1097,1197,343,3723,1383,50881,8022,37,19
Epipaschiinae,3,10621,126,395,16,29,18,1343,211,5,1
Herpetopoma crassilabrum,2,4457,29,4,6,16,8,148,24,3,0
Ja’afar of Negeri Sembilan,15,26458,2,2,0,1,1,12970,2071,23,0
1590s,87,89186,2148,214,107,120,78,178,29,55,1
Tove Linnea Brandvik,4,5637,22,14,2,23,17,1274,218,2,0
Samuel Cox House,0,6351,121,5,7,16,13,492,83,2,0
Massachusetts Greyhound Protection Act,0,22076,759,524,24,68,36,3190,507,18,0
Étienne de Cardaillac,1,426,27,2,10,10,3,1673,278,3,0
Tom Towles,12,470488,105,71,34,242,150,1723,289,10,1
Across the Imaginary Divide,0,10176,18,6,3,9,7,178,30,5,0
The Day the Sun Went Out,1,20993,4,5,0,63,52,5875,975,16,0
"Fagatogo, American Samoa",24,27032,5,35,0,1,1,13181,2191,11,0
"Fagatogo, American Samoa",24,27032,5,35,0,1,1,13181,2191,11,0
"Patriot, Indiana",24,30438,103,52,19,109,69,3594,641,9,2
David Arnold,25,788022,444,600,72,704,421,9745,1603,15,3
Jürg Neuenschwander (organist),5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
List of numbered roads in York Region,0,70574,229,231,29,362,135,2482,393,11,76
Bento Fernandes,22,9230,14,26,9,25,19,104,20,3,0
Zinc fluoride,21,88903,379,381,15,109,68,710,111,4,3
Aphelandra cinnabarina,6,6103,36,7,14,26,18,201,33,2,0
Pampa Wind Project,2,10624,239,12,10,45,29,1556,268,2,0
DeSaad,6,645662,669,501,6,410,237,9211,1509,18,1
mTOR,0,38,572,637,759,667,283,25344,3674,30,24
Act respecting the laicity of the State,2,63897,159,29,63,188,88,13792,2210,16,8
Sarisophora dispila,2,2948,31,5,11,12,11,455,77,2,2
Colin Mason,3,21775,36,49,22,73,42,1751,285,4,0
Ernst Max Cohn,0,8224,22,7,7,27,18,1590,237,6,0
Therapsid,44,1016419,248,1738,73,736,313,10993,1565,19,9
Hurricane Bertha (1996),4,158650,246,114,19,261,130,21740,3422,14,0
Sonino,2,5012,8,4,0,9,7,20,4,1,1
Marii Hasegawa,6,16019,232,188,17,61,34,1908,314,6,0
Bill Clapp,0,8482,8,6,11,14,10,2057,306,8,0
Marii Hasegawa,6,16019,232,188,17,61,34,1908,314,6,0
Bill Clapp,0,8482,8,6,11,14,10,2057,306,8,0
International Astronomical Union,86,844241,388,5219,53,841,530,8888,1309,19,44
Apollo 7,51,1696034,453,570,66,1367,559,32145,5321,20,1
S&M (song),24,959710,435,977,309,3853,962,19249,3233,22,4
Leopold II of Belgium,77,7777546,361,1232,105,3719,1715,28072,4516,21,18
Pro Plus (company),2,34349,16,34,14,123,43,2560,411,6,4
2022 Peruvian regional and municipal elections,2,14381,172,50,9,16,12,2388,380,10,0
Kenitra,53,261286,321,358,32,496,273,4153,677,18,11
"Boron, California",25,272210,283,251,46,342,178,8453,1414,17,4
Flagstones Enclosure,0,15215,24,8,8,51,42,2136,372,5,0
Alex Cairns,6,92333,100,78,44,284,127,4868,825,12,1
Robert Nutter,4,20019,397,31,5,62,43,3282,552,6,6
Liao Hua,10,78763,174,164,3,270,115,9116,1613,8,2
Carolina Coto Segnini,1,12728,61,10,34,29,19,3511,589,9,0
"Momence, Illinois",32,90835,244,159,23,188,121,2800,486,8,6
Environmental impact-minimizing vehicle tuning,0,12708,26,7,7,122,68,116,15,5,1
The Kingston Trio,22,1480439,243,694,114,1438,364,32386,5296,21,2
Roman Amoyan,18,31984,34,66,10,115,72,1607,270,6,0
2009 Spengler Cup,8,13399,185,47,15,87,33,639,114,11,1
2009 Spengler Cup,8,13399,185,47,15,87,33,639,114,11,1
William Frye (producer),1,1945,28,14,6,4,2,275,52,4,0
John Daunt,0,6206,26,8,5,52,32,765,139,5,2
Noiselet,2,22704,9,12,4,22,17,1410,228,7,1
Cârcea,17,10692,130,125,5,23,16,191,34,2,2
Saucy Sylvia,1,22513,22,16,9,101,53,4395,774,11,0
Vouilly,33,17941,37,9,12,78,48,207,31,4,0
Enrique Sánchez-Guijo,3,5084,18,7,1,22,17,670,132,2,2
Yo Soy (Peruvian TV series),1,20938,91,6,5,165,50,979,170,6,3
Untamed (1929 movie),11,823,1,0,0,1,1,4822,822,9,0
Centaurus,86,848779,511,567,26,617,362,13914,2307,10,5
NBA In The Zone '99,0,16112,50,26,23,40,24,1013,189,6,1
Elisabetta Bavagnoli,4,15446,101,41,27,39,30,3829,626,13,1
"Plymouth County, Iowa",42,98448,340,439,32,231,150,4103,696,22,1
Ernst Stankovski,7,16301,41,29,14,49,36,198,38,5,0
Brem-sur-Mer,37,18541,310,278,17,88,57,629,103,7,0
Leaden Roding,12,11986,211,22,24,30,10,7216,1201,5,1
"Brooklyn, California",0,51766,135,79,5,48,27,1280,214,3,1
"Sir John Hay, 6th Baronet",0,8152,25,21,5,45,20,629,112,3,0
Isshiki,0,10076,18,3,3,6,5,106,15,2,0
"Speedwell, Virginia",1,14106,57,39,7,24,17,559,88,4,1
Eugenio Jose Lacson,0,57822,202,91,5,52,34,1008,157,6,1
1998 Italian Grand Prix,22,89306,251,253,4,143,93,1874,326,7,1
List of Russia Davis Cup team representatives,0,12403,327,415,3,26,12,282,50,5,1
Chalk-Öydö,3,3815,42,37,7,22,15,124,23,2,5
Premier of Nova Scotia,4,172945,174,605,9,161,105,1146,181,5,4
Seiichi Hayashi,2,7493,38,11,18,12,6,1263,211,4,0
Bié Province,53,62522,116,339,14,162,108,2113,355,11,3
Tomb of Allama Iqbal,8,122604,212,14,11,161,96,2358,376,10,3
Aftab Ahmed Khan,3,717442,41,58,13,163,111,2607,424,7,1
Tomb of Allama Iqbal,8,122604,212,14,11,161,96,2358,376,10,3
Aftab Ahmed Khan,3,717442,41,58,13,163,111,2607,424,7,1
Richard Smith (merchant),0,9551,24,11,17,37,11,2117,352,6,1
Chinese Americans,20,1607739,1364,1383,287,3342,1343,41759,6368,49,28
Talking Book,15,1032468,257,202,41,404,235,6515,1088,14,4
Bandhan Bank,9,2129836,757,562,32,556,229,3875,610,9,0
Sodium arsenite,20,113896,60,174,24,78,63,1568,236,6,3
All-America,8,1033252,87,3234,46,482,305,10475,1594,25,14
"St. Laurent, Manitoba",2,44139,98,78,19,93,53,2602,429,7,1
Arthur Crudup,18,391054,79,261,32,323,158,5484,938,15,4
Heavenly Prize,1,5255,60,20,18,17,9,5535,978,6,0
The Merrick & Rosso Show,0,12589,43,22,4,79,52,1123,201,8,1
Ski jumping at the Winter Universiade,3,8368,295,64,1,76,22,119,20,14,0
Keren (given name),0,7153,26,2,0,10,9,76,13,8,0
David Rice Atchison,17,591941,327,380,46,909,494,12864,2087,14,8
Valérie Bonneton,15,87181,101,38,27,60,31,1196,195,12,1
Anna Carter Florence,0,16734,12,15,11,27,20,2689,428,6,0
Bror Blume,6,20548,41,50,9,56,34,1719,304,7,0
Video game journalism,14,443272,357,877,143,957,439,17484,2757,17,37
Kersti Kaljulaid,81,862093,117,212,70,587,274,7031,1124,14,1
Kersti Kaljulaid,81,862093,117,212,70,587,274,7031,1124,14,1
Kumkum – Ek Pyara Sa Bandhan,1,661483,108,99,28,881,438,4393,740,11,4
Untapped,0,13194,13,4,0,20,15,539,88,2,1
"Columbus County, North Carolina",41,192528,431,613,80,526,184,15593,2445,34,2
Huta Emilia,3,2962,89,76,4,10,7,158,23,2,0
1937 Kansas City Monarchs season,0,836,83,50,3,2,1,547,88,2,0
Thyme,80,3487148,538,1605,30,1039,640,4038,676,9,8
Rems-Murr-Kreis,44,50188,134,317,12,85,63,945,147,8,2
Leo Belgicus,18,187604,140,153,4,115,71,2683,449,7,2
"Lake Oswego, Oregon",40,661647,467,864,107,1027,458,13429,2241,20,7
Dance FM UAE,0,12560,10,6,7,47,27,1065,176,6,1
Saint-Mars-la-Réorthe,29,6323,289,266,10,35,26,153,24,3,1
Vers-sur-Selle,32,8196,815,778,12,65,43,263,43,8,1
List of 2005 box office number-one films in Austria,0,2407,471,445,52,6,5,165,32,5,0
George E. Abbott,0,1642,5,7,6,22,7,1094,189,8,1
Piet Vermeylen,4,9788,122,66,15,49,31,2599,412,6,0
"Hassel, Luxembourg",7,8922,15,4,13,22,18,270,41,1,0
Dorothy Malone,47,2083250,338,387,67,785,351,11852,1996,15,2
Catopsilia thauruma,6,4471,29,15,11,19,17,257,41,2,7
Robin Kemp,0,11596,16,18,5,95,54,1136,187,2,1
David Michael Petrou,0,10724,11,8,21,36,23,2652,406,7,0
Lies We Tell,1,24531,21,14,7,13,7,596,99,6,0
Progress Party (Ghana),5,37956,96,228,8,50,31,868,145,3,0
Cariamiformes,33,197453,262,321,30,86,39,2116,315,2,4
Longue paume,7,67556,18,289,3,42,27,514,91,4,4
Jack O'Lantern (Marvel Comics),8,440197,670,584,21,634,312,21471,3414,22,3
Deepak Bahadur Singh,0,2137,11,6,2,9,7,190,32,3,0
Hubertus Leteng,10,14943,113,16,31,51,30,10183,1676,9,0
Pseudocamelina,8,699,34,3,11,3,3,142,23,2,0
Mrs. California,0,302969,268,227,26,211,75,9502,1613,9,0
Saint-Paul-en-Pareds,30,6993,290,269,10,36,26,151,24,3,0
Kurisumuttom,2,4193,200,5,8,18,12,397,61,4,0
Jean Collet,1,3942,31,6,18,6,5,1114,183,4,0
Josette (1938 movie),5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nicolas Kelaidis,2,5179,25,35,6,23,4,737,127,4,3
Breed,40,796728,156,1424,28,418,238,3063,475,11,13
The Woodcraft Folk,2,110288,86,48,37,549,234,16255,2567,25,2
Emery Thomas Auditorium,0,265,9,4,5,10,5,351,59,2,0
Hamilton (1998 movie),10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saint-Vincent-les-Forts,34,10778,36,10,9,69,40,284,40,4,0
Saint-Vincent-les-Forts,34,10778,36,10,9,69,40,284,40,4,0
Norbury,5,220470,685,313,22,249,152,7485,1245,16,1
Downtown MRT station,7,75309,75,99,41,316,140,3413,545,7,4
Lublin Triangle,34,132699,511,245,36,143,66,12118,1837,10,1
Television in Wales,2,23114,286,108,16,25,5,4194,673,10,1
Lawrence LeShan,4,57381,161,31,31,125,65,2008,330,5,3
Prick Up Your Ears (Family Guy),3,171581,120,79,8,948,480,9536,1638,7,1
Babyfever,2,8011,42,33,6,6,4,317,52,5,0
Salix pentandra,35,39774,61,73,32,54,44,1871,308,6,7
Muirfield,8,269581,203,263,31,283,145,5266,894,10,4
Rafer Johnson,35,635084,762,698,56,521,299,9491,1587,11,3
Yosemite bowline,5,97783,205,248,10,72,48,2085,371,4,2
Ballast,28,656094,62,449,5,97,36,5256,918,7,2
Love Today (song),7,40274,112,90,50,499,267,3395,570,11,0
Leiboldia,4,1874,28,5,11,8,7,348,60,4,0
Will Lee,15,578824,109,78,30,455,274,6773,1181,12,2
2021 Norwegian Third Division,1,5088,192,74,15,22,4,371,67,10,1
Yang Han-been,4,16441,81,57,16,50,31,388,66,5,2
Central America,151,6931143,882,15514,114,3873,1707,30013,4661,47,31
National Collegiate Cancer Foundation,0,6787,16,7,18,56,34,1588,242,6,0
List of Canadian soccer clubs in American leagues,0,5993,222,153,0,54,10,161,28,18,6
Vespasian's Camp,2,57185,275,201,18,164,63,5090,867,9,1
Jeffrey Alford,0,34416,22,16,17,44,35,571,100,6,0
Alain Defossé,6,7711,33,8,21,38,12,685,118,7,0
Kuiper belt,104,3949056,571,5068,367,3312,1160,46187,7491,24,35
Crystal Waters (album),0,39527,50,23,5,44,37,617,103,4,0
List of Paralympic medalists in the 1500 metres,0,359,489,4,10,4,2,121,22,14,0
Fiona Stanley,4,168436,200,120,36,407,238,4306,672,8,2
BAFTA Award for Best Production Design,12,103665,562,473,27,260,146,298,48,11,5
"Abercrombie, Fife",6,23893,34,19,10,58,48,1358,224,2,0
Spanish colonization of the Americas,46,3650142,990,2422,135,3905,1935,74994,11584,52,19
Jhapa District,30,294632,282,404,33,874,440,4913,769,12,2
FK Partizan,60,2821958,1117,3287,308,10356,2639,45207,7373,42,10
Vairichettipalayam,0,469,21,2,18,23,9,144,21,2,0
Carole Tongue,5,23503,47,31,27,97,61,6293,967,9,0
Malaysia at the Olympics,31,572924,433,407,26,357,180,1844,307,12,3
Randy Olson,0,54560,56,31,43,243,108,4192,672,7,3
Forest Dale Iron Furnace,0,8813,96,80,7,11,9,1998,339,4,0
Diocese of Kuching,2,24051,47,30,19,128,58,4442,755,14,4
Old World flycatcher,81,327206,135,684,65,338,157,4344,681,9,4
Valkenswaard,38,107527,128,287,14,112,87,1390,214,9,2
Elachista maculosella,1,4262,26,5,10,26,16,102,19,2,0
The Malibu Times,0,17800,7,74,16,39,24,1089,174,5,2
Anthony Madut,0,623,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marty Robinson (gay activist),0,14032,27,15,20,44,20,2907,488,4,0
Spring Basin Wilderness,0,18470,446,401,10,23,19,528,83,4,0
John Kelsey Deal,0,352,10,5,1,5,4,1317,229,2,1
"St. Mary's Monastery, Goranxi",1,4407,44,39,6,14,10,152,23,2,0
Domatków,8,4535,33,22,5,10,9,378,55,2,1
Zoran Marušić,6,28238,111,81,47,96,31,6141,1019,18,1
Zoran Marušić,6,28238,111,81,47,96,31,6141,1019,18,1
Lignerolle,20,10303,139,90,40,50,31,7471,1266,11,3
Peter Turkson,35,264630,368,321,66,590,315,9661,1562,14,7
Office of the Legislative Counsel,0,17625,330,327,14,20,8,1971,313,5,2
Pontiac Montana,12,404813,125,162,8,947,305,6668,1121,8,4
"Haddix, Kentucky",2,12631,61,41,6,19,14,370,64,2,0
Nicola Stephenson,6,515868,69,88,9,198,131,2517,423,7,2
Correction Stakes,0,7912,142,5,4,42,24,1195,218,4,1
The Invincible Armour,2,50431,67,21,12,94,45,3073,550,6,1
Vicente Cantatore,15,35649,702,530,7,78,55,533,79,5,0
General Butt Naked,11,2189356,109,90,29,871,488,11175,1779,11,9
National Archive Department of Azerbaijan,11,9599,189,11,8,42,26,8845,1317,11,2
University of Neuchâtel,28,154559,240,253,41,210,119,5283,794,15,6
Wim Scherpenhuijsen Rom,3,4971,20,2,14,21,10,478,86,2,0
Corina Casanova,22,62564,64,51,5,139,74,1025,164,2,2
Konstantin Dzutsev,3,8366,34,9,4,43,22,308,50,4,0
Portuguese Colonial War,33,1585253,1254,1463,95,2601,719,82639,12567,33,10
Ambakirano,6,5690,96,73,5,16,12,657,102,2,0
Lisa Dingle,0,393964,266,209,7,593,342,19275,3375,7,1
Laphystiopsidae,4,613,22,6,6,3,3,83,13,2,0
Lisa Dingle,0,393964,266,209,7,593,342,19275,3375,7,1
Laphystiopsidae,4,613,22,6,6,3,3,83,13,2,0
1467,139,72306,209,154,7,192,116,121,21,7,11
Asparagus simulans,5,5692,28,5,13,10,8,187,31,2,3
Changthang,17,24487,1,35,0,3,2,9515,1550,12,0
Varna Monastery,2,5102,42,4,2,29,13,1688,287,5,0
Mildred Independent School District,0,9493,10,11,3,46,23,428,69,4,1
Herman Van Rompuy,75,624859,355,552,109,1423,678,14772,2467,31,15
Echuca railway station,0,30331,104,67,20,123,64,2084,349,7,1
Ethylestrenol,4,69553,1120,825,33,100,47,4556,654,16,5
Shin Kyuk-ho,17,267967,77,60,29,208,150,2192,361,5,5
Eylaki-ye Pain,2,5966,201,176,7,8,6,284,44,2,3
"Lake County, Florida",46,591762,493,1069,75,477,282,5060,832,30,4
Johnny Nash,33,1549260,109,470,73,527,321,5885,1028,13,5
"Straja, Suceava",17,14743,157,124,7,49,27,1437,231,10,0
Cheska Garcia,5,435262,49,68,6,350,201,1210,192,10,1
Kurt Boese,2,4376,16,10,4,27,13,150,27,3,0
"San Pablo, California",43,308069,312,593,36,355,208,8752,1450,15,4
Clive Revill,18,960207,199,251,33,613,338,4311,723,16,2
Vieille-Église,37,13422,926,913,12,64,38,264,42,6,3
Vieille-Église,37,13422,926,913,12,64,38,264,42,6,3
Vorderschmiding,3,3329,14,2,5,13,7,192,30,1,0
Jackie Jackson,29,3629081,172,330,47,1117,610,6463,1086,16,4
Ljusne,12,13037,63,41,19,26,17,763,123,4,0
Saint-Aubin-Fosse-Louvain,29,7660,275,249,11,40,27,137,17,3,0
Asagiri Plateau,4,13749,10,18,4,34,21,873,134,4,1
Martinpuich,38,16197,927,938,13,56,37,250,41,7,0
Kangaroo Beach,1,54176,70,22,3,98,41,1335,215,10,0
Jorge Silva Melo,8,9047,26,28,18,11,10,265,46,3,1
Loaded: A Disarming History of the Second Amendment,0,11332,24,5,8,30,10,4738,719,4,0
Puce,9,710863,105,137,11,747,429,2084,380,11,3
Kingsley Coman,53,5341985,281,446,111,1785,632,11841,2079,25,1
Vyacheslav Markin,2,14565,24,4,2,20,13,5155,883,7,0
De damescoupeur,2,5457,28,6,15,22,16,78,14,3,1
Giuseppe Di Bianco,2,14055,42,4,27,70,16,4108,587,12,0
Communes of the Corse-du-Sud department,37,27543,255,248,1,83,56,167,27,2,1
Gustav von Schmoller,23,93536,150,84,45,250,114,5498,815,8,3
Nariva Swamp,3,63416,120,28,15,94,46,9880,1558,7,0
Vladimir Cerrón,7,100798,38,66,24,92,54,6128,1014,9,1
Lichtenberg-Hohenschönhausen,37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lichtenberg-Hohenschönhausen,37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Last Date (song),0,131252,273,295,9,121,68,397,67,5,1
Icelandic Americans,4,133256,425,389,16,254,152,10953,1699,11,4
Hernando Tovar,12,7761,37,36,3,36,28,349,64,4,0
Cranley Onslow,3,41582,66,76,11,135,63,2869,491,10,6
Bolsover District Council elections,0,12459,246,125,25,76,25,900,144,8,1
"Iron River, Wisconsin",16,41125,111,126,24,91,54,2638,460,11,1
Parornix scoticella,5,4827,42,37,20,53,20,1255,208,2,1
Mule,94,5104127,254,1669,82,2581,1451,8964,1527,10,3
Erwin Haas,3,3106,13,3,8,9,6,122,24,3,0
Distributed generation,23,832337,279,564,115,778,404,21343,3217,24,36
Yoshihiro Fukuda,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bjorn Meijer,10,22819,37,47,5,20,14,231,42,5,0
Ramsholt,10,17988,284,232,6,36,29,428,76,2,0
Surauli Buzurg,1,108,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arani River,3,13102,20,55,15,24,16,2471,401,2,1
Hybusa,4,3493,23,5,5,16,7,163,25,3,1
Alejandro Abrines Redondo,32,2475,1,2,0,3,3,2687,470,18,0
Sunday Times (South Africa),4,52969,1462,1472,32,176,109,9592,1584,10,2
Scoparia hypoxantha,3,3239,27,3,8,13,10,198,36,2,0
Mr. Pogo,4,124339,382,360,23,310,134,8229,1375,19,5
Women's National Basketball League,9,234807,468,1183,19,636,260,13867,2329,21,0
Nasser Givehchi,12,13421,101,82,8,45,29,411,71,3,1
Undermain Theatre,1,9968,52,7,8,89,39,4868,792,11,1
Setzu,58,8357,131,117,3,39,29,287,44,2,0
Sean Arnold,7,164436,35,45,15,115,85,858,157,4,0
Gwydir Shire (1906–1944),0,58,300,6,3,5,4,367,66,2,5
"Dağdeviren, Gerger",10,4778,66,51,6,28,15,258,43,2,1
1988–89 Libyan Premier League,0,8737,123,99,1,21,21,348,51,3,3
Barbro Lindgren,18,41340,253,135,43,73,52,1256,192,8,0
SMP Negeri 2 Kotabaru,2,4650,16,1,5,17,10,301,49,4,0
Eta Normae,4,7476,175,61,27,25,14,862,155,2,1
Day of the Dupes,13,136382,22,25,11,69,56,1545,259,4,2
Sivasspor,42,1009174,358,1086,24,1594,651,4587,731,20,1
Baked potato,23,1646005,332,252,26,935,615,7998,1366,13,5
Erina Yamane,35,51911,86,76,20,76,40,1111,200,6,0
Modern Woman,3,76208,147,137,6,77,57,518,88,5,0
Cecil Blachford,4,11076,33,29,2,39,22,2353,397,7,1
Maldegem,34,45942,134,169,10,113,78,842,128,7,5
2014 Kontinental Hockey League All-Star Game,3,13471,225,135,13,55,22,1768,287,8,0
Sweat,96,227565,18,200,0,15,14,13477,2061,18,0
Deedee Magno Hall,9,490513,114,92,96,396,240,3399,586,16,7
Zivar,0,10198,9,130,0,31,17,188,35,3,0
One-Punch Man,40,18580522,507,880,187,2869,1283,17590,2911,17,7
Pleșoi,17,6264,130,126,5,20,12,233,38,2,6
Strehaia,27,33961,115,122,18,96,55,1460,230,5,14
The Bad Girls Club (season 2),2,6262,1,10,0,1,1,543,97,6,0
Ayla (name),6,387363,44,19,14,408,219,1238,210,8,0
South Sudan,213,9327528,734,8604,472,5893,2617,58473,9315,52,32
Vertical (1967 movie),9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vertical (1967 movie),9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matias Rajaniemi,1,3988,35,8,6,26,9,619,105,7,0
Protacanthopterygii,25,60634,367,137,15,86,46,4160,623,5,2
Kenya national football team,44,954021,531,1222,33,1551,583,2668,442,17,2
New York City mayoral elections,0,361502,1302,744,45,1293,184,38218,6163,50,11
Audition: A Memoir,0,27457,25,14,4,38,31,823,129,3,0
List of moths of Sweden,1,9908,2712,60,1,25,17,226,38,66,0
Cycling on ABC,0,3325,158,97,48,26,10,2366,406,9,0
Spyros Dimopoulos,0,390,44,5,17,30,7,2428,385,5,1
Oranienburg,52,329133,130,301,23,200,133,3578,573,12,3
Pachyphyllone,2,5894,25,5,6,13,11,113,17,3,0
Orchesella adriatica,1,1833,17,2,6,4,4,84,14,2,0
Connecticut Passion,0,10761,342,82,1,54,29,563,95,7,0
Spacetalk,1,6370,28,4,17,68,32,4096,653,8,1
Neugartheim-Ittlenheim,41,9653,561,527,17,60,35,750,126,3,0
Todd McFarlane's Spawn,9,1005696,487,636,25,627,333,11302,1957,14,6
Calderstones Hospital,0,11973,527,485,8,22,7,1071,179,4,0
Saizo Saito,49,10613,24,7,4,55,30,1150,198,7,0
Political cinema,10,138470,334,156,34,237,139,5732,900,14,5
Leader of the Opposition (Germany),4,37454,52,19,8,56,33,733,121,3,1
Kemetism,22,1095793,473,643,38,718,297,21942,3464,17,18
Jérôme Boateng,70,4535883,418,683,168,2930,1145,17360,2987,33,3
Akhbar Al Arab,1,17132,11,6,8,34,17,387,70,4,0
"Discord, Iowa",1,10342,7,69,0,34,24,435,69,3,0
Bay Point Farm,0,12222,158,4,10,14,12,791,136,2,0
"Gland, Yonne",34,7512,457,432,10,44,30,134,17,3,0
Franz Beckenbauer,82,3975608,1870,1901,153,2089,1010,15436,2628,28,2
Mis Mejores Canciones - 17 Super Éxitos,3,23186,5,7,0,1,1,8253,1287,11,0
Nanchung,0,8928,5,4,11,8,6,222,31,2,0
Days of War,1,86174,25,6,6,67,19,542,91,5,0
Edi Demaj,0,739,28,9,31,17,10,3016,485,6,1
Alberto Grandi,0,2034,68,6,13,20,9,4222,682,7,0
Wada Bari Tarzan Mathisabayata,1,11154,18,15,5,26,8,630,108,5,0
Swayamvara (1973 film),1,1228,62,37,16,55,37,3108,556,7,1
Naris Pratumsuwan,1,1645,11,10,3,15,5,238,40,2,1
Umeå FC,15,136930,239,354,7,272,109,432,68,9,2
"Charlie Gallagher (footballer, born 1940)",8,23926,44,32,10,128,73,2657,465,8,2
Abdel Rahman Sule,0,7878,10,10,2,15,12,1909,334,2,2
Jaime Herbas,3,1145,50,29,3,7,5,230,41,3,0
Metropolitan Sewers Act 1851,0,1483,176,11,0,3,2,468,82,3,0
Metropolitan Sewers Act 1851,0,1483,176,11,0,3,2,468,82,3,0
iPhone 7,50,590,750,622,223,1920,854,21362,3509,29,14
"List of listed buildings in Eckford, Scottish Borders",0,3169,97,90,45,8,6,303,53,5,0
Mavinga National Park,2,1727,29,3,6,27,20,3339,477,12,1
Sonam Rinchen,4,12296,164,11,16,62,39,786,132,3,3
"Crosshill, Glasgow",2,24336,236,272,13,119,55,4275,707,16,0
Limousine,49,2163769,440,1443,18,1650,841,6067,934,11,9
Yarkon Park,15,169388,168,141,44,710,231,5549,900,8,16
Real Groove,5,27749,264,203,145,320,85,10286,1731,14,2
Grosvenor Bridge,17,70007,52,149,16,137,87,2090,362,9,0
Domestic goat,178,161484,1,497,0,5,5,37329,6138,33,0
"Horntown, Oklahoma",22,14575,53,28,11,81,48,3277,559,6,1
"Fletcher, Vermont",16,28655,119,56,15,90,64,2856,498,6,1
Bagutta Prize,12,31153,148,84,19,52,41,699,113,4,1
Diversity Champions,1,8856,8,98,0,59,20,19506,3051,22,0
Fome Zero,11,90363,169,94,21,148,98,4030,647,8,1
Gutierrezia serotina,2,5746,40,4,21,10,8,536,97,4,2
Boeing XF6B,10,73146,549,279,0,57,38,1332,216,8,6
Kenneth Cope,8,833499,123,165,30,434,231,5655,964,7,2
Japan Agricultural Cooperatives,3,79774,23,30,21,39,23,7555,1171,7,3
Peter Fayssoux Stevens,0,8053,68,29,24,50,20,4338,718,6,1
Megali Idea,37,1012665,713,897,14,895,500,17256,2784,13,8
Colin Healy,8,107497,170,148,32,455,252,5499,942,16,0
W.I.T.C.H.,27,1352066,371,552,61,3736,1378,29856,4984,39,100
Shrewsbury railway station,5,154566,668,460,29,573,231,7647,1265,13,4
Dodge 500,2,64034,136,123,1,56,33,1861,314,4,0
Sam Bradford,16,5704924,949,1186,206,3968,1853,26599,4483,28,2
"Villers, Vosges",30,9508,544,517,10,47,31,82,16,3,0
Freshly-Picked Tingle's Rosy Rupeeland,16,182646,131,162,21,864,332,6989,1182,9,17
Injured reserve list,3,662019,33,852,13,193,130,5941,1017,7,6
Injured reserve list,3,662019,33,852,13,193,130,5941,1017,7,6
Kingak Island,2,5515,125,107,4,18,10,362,54,2,0
TWAS,16,38108,2,92,0,1,1,2143,335,7,0
Alavivus,13,20270,17,14,2,18,13,766,125,2,0
Phoenix atlantica,5,21053,42,9,21,51,25,2158,347,4,0
Phyllonorycter hissarella,5,4602,25,3,5,16,12,186,31,2,1
Scolia dubia,4,100195,30,10,12,39,28,1054,173,3,2
Fill-in-Cafe,1,33023,43,32,13,77,33,1503,237,16,2
